         40240765 function calls (40240693 primitive calls) in 85.320 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 {method 'sort' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 traceback_util.py:158(reraise_with_filtered_traceback)
        1    0.000    0.000    0.000    0.000 api.py:595(cache_miss)
        4    0.000    0.000    0.000    0.000 util.py:286(<listcomp>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(argmin)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1223(argmin)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:51(_wrapfunc)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:38(_wrapit)
        2    0.000    0.000    0.000    0.000 std.py:1300(fp_write)
        4    0.000    0.000    0.000    0.000 core.py:1729(divide_shape_sizes)
       24    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(amin)
        8    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(prod)
      148    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       24    0.000    0.000    0.000    0.000 arrayprint.py:64(_make_options_dict)
        5    0.000    0.000    0.000    0.000 utils.py:333(disp_len)
       52    0.000    0.000    0.000    0.000 lax_numpy.py:2233(<genexpr>)
        8    0.000    0.000    0.000    0.000 fromnumeric.py:2927(prod)
       20    0.000    0.000    0.000    0.000 reductions.py:180(_ensure_optional_axes)
       24    0.000    0.000    0.000    0.000 fromnumeric.py:2802(amin)
        8    0.000    0.000    0.000    0.000 lax_numpy.py:4275(_static_idx)
        5    0.000    0.000    0.000    0.000 utils.py:329(_text_width)
       26    0.000    0.000    0.000    0.000 functools.py:393(__get__)
       24    0.000    0.000    0.000    0.000 _dtype.py:330(_name_includes_bit_suffix)
        8    0.000    0.000    0.000    0.000 {method 'indices' of 'slice' objects}
       24    0.000    0.000    0.000    0.000 arrayprint.py:780(_formatArray)
        4    0.000    0.000    0.000    0.000 _base.py:73(_coo_container)
        8    0.000    0.000    0.000    0.000 _sputils.py:238(isshape)
        8    0.000    0.000    0.000    0.000 _sputils.py:216(isintlike)
      222    0.000    0.000    0.000    0.000 utils.py:330(<genexpr>)
        8    0.000    0.000    0.000    0.000 _sputils.py:295(check_shape)
       24    0.000    0.000    0.000    0.000 arrayprint.py:789(recurser)
       34    0.000    0.000    0.000    0.000 dtypes.py:74(to_numeric_dtype)
        6    0.000    0.000    0.000    0.000 device_array.py:313(<lambda>)
       24    0.000    0.000    0.000    0.000 arrayprint.py:295(get_printoptions)
       27    0.000    0.000    0.000    0.000 threading.py:1169(is_alive)
        1    0.000    0.000    0.000    0.000 dispatch.py:226(_xla_call_impl_lazy)
        3    0.000    0.000    0.000    0.000 reductions.py:312(mean)
       24    0.000    0.000    0.000    0.000 arrayprint.py:403(_get_formatdict)
        2    0.000    0.000    0.000    0.000 reductions.py:249(max)
        7    0.000    0.000    0.000    0.000 threading.py:545(__init__)
       26    0.000    0.000    0.000    0.000 functools.py:385(_make_unbound_method)
        1    0.000    0.000    0.000    0.000 linear_util.py:289(memoized_fun)
        8    0.000    0.000    0.000    0.000 std.py:104(acquire)
        4    0.000    0.000    0.000    0.000 _dia.py:446(isspmatrix_dia)
       34    0.000    0.000    0.000    0.000 lax_numpy.py:1985(<genexpr>)
        8    0.000    0.000    0.000    0.000 _base.py:291(nnz)
        4    0.000    0.000    0.000    0.000 _sputils.py:135(getdata)
       17    0.000    0.000    0.000    0.000 lax_numpy.py:234(_jnp_dtype)
       10    0.000    0.000    0.000    0.000 utils.py:222(_is_ascii)
       24    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
       17    0.000    0.000    0.000    0.000 tree_util.py:77(tree_leaves)
        7    0.000    0.000    0.000    0.000 threading.py:236(__init__)
       34    0.000    0.000    0.000    0.000 tree_util.py:207(<genexpr>)
        8    0.000    0.000    0.000    0.000 std.py:108(release)
        4    0.000    0.000    0.000    0.000 typing.py:993(__instancecheck__)
       24    0.000    0.000    0.000    0.000 arrayprint.py:1231(__call__)
        1    0.000    0.000    0.000    0.000 std.py:560(__new__)
        8    0.000    0.000    0.000    0.000 _data.py:20(__init__)
        9    0.000    0.000    0.000    0.000 std.py:288(format_interval)
        8    0.000    0.000    0.000    0.000 _coo.py:240(getnnz)
        1    0.000    0.000    0.000    0.000 std.py:583(_decr_instances)
        5    0.000    0.000    0.000    0.000 std.py:1460(format_dict)
       56    0.000    0.000    0.000    0.000 fromnumeric.py:70(<dictcomp>)
       27    0.000    0.000    0.000    0.000 threading.py:1102(_wait_for_tstate_lock)
        4    0.000    0.000    0.000    0.000 lax_numpy.py:557(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:2030(call_bind_with_continuation)
      217    0.000    0.000    0.000    0.000 {built-in method unicodedata.east_asian_width}
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(atleast_2d)
        4    0.000    0.000    0.000    0.000 typing.py:1154(__subclasscheck__)
       24    0.000    0.000    0.000    0.000 arrayprint.py:72(<dictcomp>)
       12    0.000    0.000    0.000    0.000 dtypes.py:475(<setcomp>)
        8    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
        1    0.000    0.000    0.000    0.000 utils.py:282(_screen_shape_linux)
       48    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 _sputils.py:109(getdtype)
        8    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        8    0.000    0.000    0.000    0.000 _base.py:105(__init__)
        4    0.000    0.000    0.000    0.000 std.py:112(__enter__)
        1    0.000    0.000    0.000    0.000 api.py:404(_prepare_jit)
       24    0.000    0.000    0.000    0.000 _sputils.py:308(<genexpr>)
        5    0.000    0.000    0.000    0.000 dtypes.py:480(<setcomp>)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:63(__iter__)
        1    0.000    0.000    0.000    0.000 std.py:576(_get_free_pos)
       47    0.000    0.000    0.000    0.000 dtypes.py:301(_jax_type)
        5    0.000    0.000    0.000    0.000 std.py:188(__format__)
        4    0.000    0.000    0.000    0.000 std.py:115(__exit__)
       32    0.000    0.000    0.000    0.000 _base.py:119(get_shape)
       17    0.000    0.000    0.000    0.000 lax_numpy.py:1962(<lambda>)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(atleast_1d)
        4    0.000    0.000    0.000    0.000 shape_base.py:81(atleast_2d)
        1    0.000    0.000    0.000    0.000 utils.py:215(_supports_unicode)
        4    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
       16    0.000    0.000    0.000    0.000 std.py:233(__call__)
        8    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
        4    0.000    0.000    0.000    0.000 {built-in method now}
       26    0.000    0.000    0.000    0.000 functools.py:412(__isabstractmethod__)
        1    0.000    0.000    0.000    0.000 utils.py:201(_is_utf)
       24    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 api.py:3082(_check_arg)
        5    0.000    0.000    0.000    0.000 std.py:155(__init__)
        1    0.000    0.000    0.000    0.000 utils.py:162(__init__)
       20    0.000    0.000    0.000    0.000 iostream.py:90(_event_pipe)
        1    0.000    0.000    0.000    0.000 std.py:579(<setcomp>)
      105    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        8    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
